Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,Unknown,Working Day,No Info,12:10pm,Peshawar,34.0043,71.5448,KPK,Judicial Complex loacated on Khyber Road,Office Building,High,open,Court Proceeding,Government Official,None,2.0,4.0,22.0,47,2.0,6kg,Lady Reading Hospital,18.725,65.705,,,,4,1,-1
,Unknown,Holiday,Pakistan Day,Unknown,North waziristan,32.9746,70.1456,FATA,Security Checkpost near Miramshah,Military,High,Open,Tochi Scouts Check Post Building,Military,None,8.0,22.0,20.0,35,1.0,0 Kg,Unknown,6.44,43.592,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Near security check post Saddar Cantt area of Peshawar,Market,High,Open,FC convoy,Military,None,5.0,12.0,11.0,35,1.0,0 Kg,Lady Reading Hospital,21.525,70.745,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,The bomb blast took place in Yakatoot in Kotwali Abid Khan,Market,High,Open,Election campain gathering of a Secular Party,Civilian,None,16.0,18.0,49.0,60,1.0,6kg,Lady Reading Hospital,22.805,73.049,,,,4,1,-1
,Unknown,Working Day,No Info,5:30pm,North waziristan,32.9746,70.1456,FATA,Near Dirdhoni Check Post,Military,High,Open,Military Convoy,Military,None,7.0,9.0,8.0,18,1.0,0 Kg,Military Hospital Miranshah,16.9,62.42,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Bajaur Agency,34.8718,71.5249,FATA,Outside Headquarter Hospital,Office Building,High,Open,None,Civilian,None,4.0,4.0,4.0,4,1.0,0 Kg,Headquarter Hospital Bajour Agency,18.81,65.858,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Paramilitary check post near the Shiite neighbourhood,Residence,High,Open,Secratian,Civilian,Shiite,6.0,6.0,37.0,40,1.0,0 Kg,Unknown,17.65,63.77,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Jehangir Abad neighbourhood on Arbab Road,Market,High,Open,None,civilian,None,8.0,10.0,30.0,45,1.0,6kg,Khyber Teaching Hospital,23.69,74.642,,,,4,1,-1
2013-05-01,Unknown,Holiday,Labour Day,Unknown,Shikarpur,28.0,68.6667,Sindh,Southern Shikarpur district of Sindh province-some 400 kilometres (250 miles) northeast of Karachi,Mobile,Low,Open,Parliamentary Candidate from National People's Party in Sindh,civilian,None,1.0,1.0,2.0,2,1.0,0 Kg,Unknown,30.715,87.287,2013.0,5.0,Wednesday,2,1,-1
2013-05-07,Unknown,Working Day,No Info,Unknown,Hangu,33.5351,71.0713,KPK,Near Market in the town of Doaba,Market,High,Open,KP 43 Election Candidate Syed Janan of JUIF,Civilian,None,12.0,12.0,35.0,40,1.0,0 Kg,Unknown,25.335,77.603,2013.0,5.0,Tuesday,4,1,-1
2013-05-08,Unknown,Working Day,No Info,5:30am,Bannu,32.935,70.6688,KPK,Domail Police station Bannu,Police,High,Open,Bannu Police,Police,None,2.0,3.0,23.0,27,1.0,0 Kg,Government Hospital Bannu,20.715,69.287,2013.0,5.0,Wednesday,4,1,-1
